Date,CostperMb,CostperGenome
Sep-2001,5292.39,95263072
Mar-2002,3898.64,70175437
Sep-2002,3413.80,61448422
Mar-2003,2986.20,53751684
Oct-2003,2230.98,40157554
Jan-2004,1598.91,28780376
Apr-2004,1135.70,20442576
Jul-2004,1107.46,19934346
Oct-2004,1028.85,18519312
Jan-2005,974.16,17534970
Apr-2005,897.76,16159699
Jul-2005,898.90,16180224
Oct-2005,766.73,13801124
Jan-2006,699.20,12585659
Apr-2006,651.81,11732535
Jul-2006,636.41,11455315
Oct-2006,581.92,10474556
Jan-2007,522.71,9408739
Apr-2007,502.61,9047003
Jul-2007,495.96,8927342
Oct-2007,397.09,7147571
Jan-2008,102.13,3063820
Apr-2008,15.03,1352982
Jul-2008,8.36,752080
Oct-2008,3.81,342502
Jan-2009,2.59,232735
Apr-2009,1.72,154714
Jul-2009,1.20,108065
Oct-2009,0.78,70333
Jan-2010,0.52,46774
Apr-2010,0.35,31512
Jul-2010,0.35,31125
Oct-2010,0.32,29092
Jan-2011,0.23,20963
Apr-2011,0.19,16712
Jul-2011,0.12,10497
Oct-2011,0.09,7743
Jan-2012,0.09,7666
Apr-2012,0.07,5901
Jul-2012,0.07,5985
Oct-2012,0.07,6618
Jan-2013,0.06,5671
Apr-2013,0.06,5550
Jul-2013,0.06,5550
Oct-2013,0.06,5096
Jan-2014,0.04,4008
Apr-2014,0.05,4920
Jul-2014,0.05,4905
Oct-2014,0.06,5731
Jan-2015,0.04,3970
Apr-2015,0.05,4211
Jul-2015,0.015,1363
Oct-2015,0.014,1245
May-2016,0.013,1176
Aug-2016,0.017,1508
Nov-2016,0.015,1356
Feb-2017,0.011,1015
May-2017,0.015,1333
Aug-2017,0.013,1134
Nov-2017,0.020,1844
Feb-2018,0.014,1232
May-2018,0.016,1463
Aug-2018,0.016,1467
Nov-2018,0.015,1392
Feb-2019,0.013,1201
May-2019,0.007,606
Aug-2019,0.010,942

